"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Cerebratulus sp.","","","sandy shore proboscis-worm","Animalia","Nemertea","","","Pilidiophora","","","Heteronemertea","","","Lineidae","","","Cerebratulus","",NA,"",NA,"","",NA,"new 2019","observed","","","","",NA,"2019-05-30","Dave ""Zeuss"" Cochrane","iNat:26605416","",192649,"WOR"
"Emplectonema gracile","(Johnston, 1837)","","green ribbon worm","Animalia","Nemertea","","","Hoplonemertea","","","Monostilifera","Eumonostilifera","","Emplectonematidae","","","Emplectonema","gracile",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",NA,"2021-03-17","Andrew Simon","iNat:72321492","",337279,"WOR"
"Micrura verrilli","Coe, 1901","","purple ribbon worm","Animalia","Nemertea","","","Pilidiophora","","","Heteronemertea","","","Lineidae","","","Micrura","verrilli",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2006-09-28","Andy Lamb","PMLS","",NA,"","","","",117598,"WOR"
"Paranemertes peregrina","Coe, 1901","","purple ribbon worm","Animalia","Nemertea","","","Hoplonemertea","","","Monostilifera","Eumonostilifera","","Neesidae","","","Paranemertes","peregrina",NA,"",NA,"native","unlisted",NA,"new 2019","observed","","","","",NA,"2019-05-04","Dave Metzger","iNat:25587683","",51284,"WOR"
"Tubulanus albocinctus","(Coe, 1904)","","white-ringed ribbon worm","Animalia","Nemertea","","","Palaeonemertea","","","Tubulaniformes","","","Tubulanidae","","","Tubulanus","albocinctus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1996-05-29","Charlie Gibbs","PMLS","",NA,"","","","",873878,"WOR"
"Tubulanus polymorphus","Renier, 1804","","orange ribbon worm","Animalia","Nemertea","","","Palaeonemertea","","","Tubulaniformes","","","Tubulanidae","","","Tubulanus","polymorphus",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2008-08-23","Andy Lamb","PMLS","",NA,"2017-05-26","Karolle Wall","iNat:7674347","",117581,"WOR"
"Tubulanus sexlineatus","(Griffin, 1898)","","six-lined ribbon worm","Animalia","Nemertea","","","Palaeonemertea","","","Tubulaniformes","","","Tubulanidae","","","Tubulanus","sexlineatus",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",NA,"2018-08-10","Karolle Wall","iNat:15660001","",121950,"WOR"
