"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Kaburakia excelsa","Bock, 1925",56699,"Animalia","Platyhelminthes","Rhabditophora","","Polycladida","Acotylea",NA,"Stylochoidea","Stylochidae","Kaburakia",NA,"excelsa","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:17590","Andy Lamb",NA,"","2016-07-24",2016,7,24,"HumanObservation","Race Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,55,NA,"present","","",1,"","native","unlisted","",NA,"","","Kaburakia excelsa","","",376
"Kaburakia excelsa","Bock, 1925",56699,"Animalia","Platyhelminthes","Rhabditophora","","Polycladida","Acotylea",NA,"Stylochoidea","Stylochidae","Kaburakia",NA,"excelsa","","species","iNaturalist","","","","imerss.org:iNat:24259233","Andrew Simon",NA,"","2019-04-27",2019,4,27,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","Kaburakia excelsa","","",377
"Kaburakia excelsa","Bock, 1925",56699,"Animalia","Platyhelminthes","Rhabditophora","","Polycladida","Acotylea",NA,"Stylochoidea","Stylochidae","Kaburakia",NA,"excelsa","","species","iNaturalist","","","","imerss.org:iNat:24632552","",NA,"","2019-05-04",2019,5,4,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",31,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","Kaburakia excelsa","","",377
