"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Ceramaster patagonicus","(Sladen, 1889)",537859,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Goniasteridae","Ceramaster",NA,"patagonicus","","species","","","","iNaturalist","iNat:61341019","",NA,"","2009-10-03",2009,10,3,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",159
"Ceramaster patagonicus","(Sladen, 1889)",537859,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Goniasteridae","Ceramaster",NA,"patagonicus","","species","","","","iNaturalist","iNat:116334844","",NA,"","2008-05-22",2008,5,22,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",181
"Ceramaster patagonicus","(Sladen, 1889)",537859,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Goniasteridae","Ceramaster",NA,"patagonicus","","species","","","","iNaturalist","iNat:116447587","",NA,"","2008-05-22",2008,5,22,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",181
"Ceramaster patagonicus","(Sladen, 1889)",537859,"Animalia","Echinodermata","Asterozoa","Asteroidea","Valvatida","",NA,"","Goniasteridae","Ceramaster",NA,"patagonicus","","species","","","","iNaturalist","iNat:116497154","",NA,"","2008-05-24",2008,5,24,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",NA,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","","","",181
"Henricia pumila","Eernisse, Strathmann & Strathmann, 2010",130864,"Animalia","Echinodermata","Asterozoa","Asteroidea","Spinulosida","",NA,"","Echinasteridae","Henricia",NA,"pumila","","species","","","","iNaturalist","iNat:167489237","",NA,"","2023-06-14",2023,6,14,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",31,"","","","",NA,NA,NA,"present","","",NA,"","","","",NA,"","","","","",347
