"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Abietinaria spp.","","","coarse sea fir hydroids","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Sertularioidea","Sertulariidae","",NA,"Abietinaria","",NA,"",NA,"","","","1981-05-31","Andy Lamb","PMLS","",NA,"2017-03-18","Andy Lamb","PMLS","",NA,78,"confirmed","unobserved","",55322,"VAS"
"Aequorea victoria s.lat.","","","water jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Aequoreidae","",NA,"Aequorea","victoria",NA,"",NA,"native","unlisted","","2017-05-26","Karolle Wall","iNaturalist","",NA,"2022-08-04","Dave Zeuss Cochrane","iNaturalist","",NA,17,"new 2017","observed","",325995,"VAS"
"Aglantha digitale","(O. F. Müller, 1776)","","pink helmit","Animalia","Cnidaria","","","Hydrozoa","Trachylinae","","Trachymedusae","","","Rhopalonematidae","",NA,"Aglantha","digitale",NA,"",NA,"native","unlisted","","1861-01-01","Alexander Agassiz","Agassiz (1861)","AGASSIZGI:2",NA,"1861-01-01","Alexander Agassiz","Agassiz (1861)","AGASSIZGI:2",NA,1,"reported","unobserved","",256085,"VAS"
"Aglaophenia spp.","","","ostrich-plume hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Plumularioidea","Aglaopheniidae","",NA,"Aglaophenia","",NA,"",NA,"","","","1971-08-21","Andy Lamb","PMLS","",NA,"2016-03-27","Andy Lamb","PMLS","",NA,29,"confirmed","unobserved","",51218,"VAS"
"Alcyonium sp.","","","orange soft coral","Animalia","Cnidaria","","","Anthozoa","Octocorallia","","Alcyonacea","Alcyoniina","","Alcyoniidae","",NA,"Alcyonium","",NA,"",NA,"","","","1985-12-07","Andy Lamb","PMLS","",NA,"2017-06-30","Andy Lamb","PMLS","",NA,98,"confirmed","observed","",338004,"VAS"
"Amphisbetia greenei","(Murray, 1860)","","fibre-optic hydroid","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","Sertularioidea","Sertulariidae","",NA,"Abietinaria","greenei",NA,"",NA,"native","unlisted","","1971-08-21","Andy Lamb","PMLS","",NA,"2008-11-13","Andy Lamb","PMLS","",NA,6,"confirmed","unobserved","",429858,"VAS"
"Anthopleura artemisia","(Pickering in Dana, 1846)","","burrowing anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","",NA,"Anthopleura","artemisia",NA,"",NA,"native","unlisted","","1996-09-29","Charlie Gibbs","PMLS","",NA,"2022-05-07","Clare Kilgour","iNaturalist","",NA,43,"confirmed","observed","",51658,"VAS"
"Anthopleura elegantissima","(Brandt, 1835)","","pink-tipped anemone","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Actiniaria","Enthemonae","Actinioidea","Actiniidae","",NA,"Anthopleura","elegantissima",NA,"",NA,"native","unlisted","","1985-12-07","Andy Lamb","PMLS","",NA,"2022-10-04","Paul Grieve","iNaturalist","",NA,54,"confirmed","observed","",52564,"VAS"
"Aurelia labiata","Chamisso & Eysenhardt, 1821","","moon jelly","Animalia","Cnidaria","","","Scyphozoa","Discomedusae","","Semaeostomeae","","","Ulmaridae","Aureliinae",NA,"Aurelia","labiata",NA,"",NA,"native","unlisted","","1996-09-28","Charlie Gibbs","PMLS","",NA,"2022-06-30","","iNaturalist","",NA,45,"confirmed","observed","",130235,"VAS"
"Balanophyllia (Balanophyllia) elegans","Verrill, 1864","","orange cup coral","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Scleractinia","Dendrophylliina","","Dendrophylliidae","",NA,"Balanophyllia","elegans",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2022-09-28","Dave Zeuss Cochrane","iNaturalist","",NA,219,"reported","observed","",51799,"VAS"
"Balticina willemoesi","(Kölliker, 1880)","","sea whip","Animalia","Cnidaria","","","Anthozoa","Octocorallia","","Pennatulacea","Subsessiliflorae","","Halipteridae","",NA,"Halipteris","willemoesi",NA,"",NA,"native","unlisted","","2007-12-09","Andy Lamb","PMLS","",NA,"2007-12-09","Andy Lamb","PMLS","",NA,1,"reported","unobserved","",460078,"VAS"
"Bougainvillia sp.","","","cluster-tentacled jelly","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Filifera","","Bougainvilliidae","",NA,"Bougainvillia","",NA,"",NA,"","","","2008-10-05","Andy Lamb","PMLS","",NA,"2009-04-13","Andy Lamb","PMLS","",NA,5,"confirmed","unobserved","",247135,"VAS"
"Caryophyllia (Caryophyllia) alaskensis","Vaughan, 1941","","round tan cup coral","Animalia","Cnidaria","","","Anthozoa","Hexacorallia","","Scleractinia","","","Caryophylliidae","",NA,"Caryophyllia","alaskensis",NA,"",NA,"native","unlisted","","2009-02-14","Andy Lamb","PMLS","",NA,"2019-05-04","Stefania Gorgopa","PMLS","",NA,3,"reported","unobserved","",459907,"VAS"
"Catablema vesicarium nodulosum","Bigelow, 1913","","","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Anthoathecata","Filifera","","Pandeidae","",NA,"Catablema","vesicarium",NA,"nodulosum",NA,"native","unlisted","","2021-04-11","Andrew Simon","iNaturalist","",NA,"2021-04-18","Andrew Simon","iNaturalist","",NA,3,"new 2021","observed","",888777,"VAS"
"Clytia gregaria","(Agassiz, 1862)","","gregarious jellyfish","Animalia","Cnidaria","","","Hydrozoa","Hydroidolina","","Leptothecata","","","Campanulariidae","",NA,"Clytia","gregaria",NA,"",NA,"native","unlisted","","1976-06-19","O'Clair, Rita M.","CMN","CMNI 1900-1132",NA,"2022-09-14","Dave Zeuss Cochrane","iNaturalist","",NA,27,"confirmed","observed","",195428,"VAS"
