"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Acarnus erithacus","Laubenfels, 1927","","thick encrusting scarlet sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Acarnidae","","","Acarnus","erithacus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2008-08-29","Andy Lamb","PMLS","",NA,"","","","",63669,"POR"
"Amphilectus digitatus","(Miklucho-Maclay, 1870)","","glove sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Esperiopsidae","","","Amphilectus","digitatus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1981-05-31","Andy Lamb","PMLS","",NA,"","","","",459874,"POR"
"Antho (Plocamia) karykina","(Laubenfels, 1927)","","bright red sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","","","Antho","karykina",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","reported as Plocamia karykina",345142,"POR"
"Aphrocallistes vastus","Schulze, 1886","","cloud sponge","Animalia","Porifera","","","Hexactinellida ","Hexasterophora","","Sceptrulophora ","","","Aphrocallistidae ","","","Aphrocallistes","vastus",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2011-10-30","Jackson W.F. Chu","RBCM","016-00066-001",NA,"2007-10-23","Jackson W.F. Chu","iNat:8459011","",424651,"POR"
"Aplysilla polyraphis","Laubenfels, 1930","","slippery purple sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dendroceratida","","","Darwinellidae","","","Aplysilla","polyraphis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2008-11-12","Andy Lamb","PMLS","",NA,"","","","",216652,"POR"
"Aplysilla sp.","","","slippery rose sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dendroceratida","","","Darwinellidae","","","Aplysilla","",NA,"",NA,"","",NA,"reported","unobserved","1985-12-07","Andy Lamb","PMLS","",NA,"","","","undescribed species",63646,"POR"
"Clathria (Microciona) pennata","(Lambe, 1895)","","red velvety sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Microcionidae","","","Clathria","pennata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1971-08-21","Andy Lamb","PMLS","",NA,"","","","",63672,"POR"
"Clathrina sp.","","","lattice-skin sponge","Animalia","Porifera","","","Calcarea","Calcinea","","Clathrinida","","","Clathrinidae","","","Clathrina","",NA,"",NA,"","",NA,"reported","unobserved","2017-06-30","Andy Lamb","PMLS","",NA,"","","","",122021,"POR"
"Cliona californiana","Laubenfels, 1932","","yellow boring sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Clionaida","","","Clionaidae","","","Cliona","californiana",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",NA,"2021-03-07","Dave ""Zeuss"" Cochrane","iNat:70790700","",424811,"POR"
"Craniella villosa","Lambe, 1893","","tennis ball sponge","Animalia","Porifera","","","Demospongiae","Tetractinomorpha","","Spirophorida","","","Tetillidae","","","Craniella","villosa",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-08-02","Andy Lamb","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2975867","",459732,"POR"
"Desmacella austini","Lehnert, Conway, Barrie & Krautter, 2005","","thin encrusting Desmacella","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Desmacellida","","","Desmacellidae","","","Desmacella","austini",NA,"",NA,"native","unlisted",NA,"new 2007","observed","","","","",NA,"2007-10-23","Jackson W.F. Chu","iNat:59908535","",459736,"POR"
"Halichondria (Eumastia) sitiens","(Schmidt, 1870)","","breast sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Halichondriidae","","","Halichondria","sitiens",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2007-12-15","Andy Lamb","PMLS","",NA,"","","","",459775,"POR"
"Halichondria (Halichondria) bowerbanki","Burton, 1930","","Bowerbank's crumb of bread sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Halichondriidae","","","Halichondria","bowerbanki",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1973-09-20","Andy Lamb","PMLS","",NA,"","","","",120498,"POR"
