"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","iNatObservationStatus","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Diaphorodoris lirulatocauda","Millen, 1985","","porcupine dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Onchidoridoidea","Calycidorididae","","","Diaphorodoris","lirulatocauda",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2008-05-30","Andy Lamb","PMLS","",NA,"2016-05-15","Karolle Wall","iNat:3707594","",48630,"MOL"
"Diaulula odonoghuei","(Steinberg, 1963)","","spotted leopard dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Discodorididae","","","Diaulula","odonoghuei",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",NA,"2014-04-08","Karin Fletcher","iNat:68751812","",508237,"MOL"
"Diodora aspera","(Rathke, 1833)","","rough keyhole limpet","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Lepetellida","","Fissurelloidea","Fissurellidae","Diodorinae","","Diodora","aspera",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",NA,"2019-05-04","Norah Brown","iNat:24519360","",64148,"MOL"
"Dirona albolineata","MacFarland in Cockerell & Elliot, 1905","","frosted nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Proctonotoidea","Dironidae","","","Dirona","albolineata",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",NA,"2009-08-30","Karolle Wall","iNat:97178779","",47477,"MOL"
"Dirona pellucida","Volodchenko, 1941","","golden dirona","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Proctonotoidea","Dironidae","","","Dirona","pellucida",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-09-21","Andy Lamb","PMLS","",NA,"2009-11-14","Karin Fletcher","iNat:68751130","",50447,"MOL"
"Doris montereyensis","J.G. Cooper, 1863","","Monterey sea lemon","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Dorididae","","","Doris","montereyensis",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1968-08-02","Andy Lamb","PMLS","",NA,"2014-04-08","Karin Fletcher","iNat:68751948","",47469,"MOL"
"Doris odhneri","(MacFarland, 1966)","","white nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Dorididae","","","Doris","odhneri",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-09-20","Andy Lamb","PMLS","",NA,"2009-11-14","Karin Fletcher","iNat:68751131","",124210,"MOL"
"Doryteuthis opalescens","(Berry, 1911)","","California market squid","Animalia","Mollusca","","","Cephalopoda","Coleoidea","Decapodiformes","Teuthida","","","Loliginidae","","","Doryteuthis","opalescens",NA,"",NA,"native","unlisted",NA,"new 2008","observed","","","","",NA,"2008-02-06","Karolle Wall","iNat:69186574","",153981,"MOL"
"Doto amyra","Er. Marcus, 1961","","hammerhead doto","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dotidae","","","Doto","amyra",NA,"",NA,"native","unlisted",NA,"new 2014","observed","","","","",NA,"2014-04-08","Karin Fletcher","iNat:68751813","",47655,"MOL"
"Doto columbiana","O'Donoghue, 1921","","British Columbia doto","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Dotidae","","","Doto","columbiana",NA,"",NA,"native","unlisted",NA,"new 2014","observed","","","","",NA,"2014-04-09","Karin Fletcher","iNat:68793273","",47774,"MOL"
"Ennucula tenuis","(Montagu, 1808)","","smooth nutclam","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculida","","Nuculoidea","Nuculidae","","","Ennucula","tenuis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03318",1898321136,"","","","",202045,"MOL"
"Enteroctopus dofleini","(Wülker, 1910)","","giant pacific octopus","Animalia","Mollusca","","","Cephalopoda","Coleoidea","Octopodiformes","Octopoda","Incirrata","Octopodoidea","Enteroctopodidae","","","Enteroctopus","dofleini",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",NA,"2007-10-23","Jackson W.F. Chu","iNat:8459014","",48863,"MOL"
"Entodesma navicula","(Adams & Reeve, 1850)","","rock entodesma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","","Entodesma","navicula",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1969-02-22","Andy Lamb","PMLS","",NA,"2019-05-04","Isabelle M. Côté","iNat:129284392","",339164,"MOL"
"Epitonium hindsii","(Carpenter, 1856)","","","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","","","Epitonioidea","Epitoniidae","","","Epitonium","hindsii",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-019",1898294275,"","","","",893102,"MOL"
"Epitonium indianorum","(Carpenter, 1865)","","money wentletrap","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","","","Epitonioidea","Epitoniidae","","","Epitonium","indianorum",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2008-07-19","Andy Lamb","PMLS","",NA,"","","","",129921,"MOL"
"Eubranchus rupium","(Møller, 1842)","","olive aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Eubranchidae","","","Eubranchus","rupium",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2012-10-06","Andy Lamb","PMLS","",NA,"","","","",533047,"MOL"
"Eubranchus rustyus","(Er. Marcus, 1961)","","homely aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Eubranchidae","","","Eubranchus","rustyus",NA,"",NA,"native","unlisted",NA,"new 2014","observed","","","","",NA,"2014-04-08","Karin Fletcher","iNat:68793032","",50471,"MOL"
"Eubranchus sanjuanensis","Roller, 1972","","San Juan aeolid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Fionoidea","Eubranchidae","","","Eubranchus","sanjuanensis",NA,"",NA,"native","unlisted",NA,"new 2014","observed","","","","",NA,"2014-04-08","Karin Fletcher","iNat:68751951","",544965,"MOL"
"Euspira pallida","(Broderip & G.B. Sowerby I, 1829)","","pale northern moonsnail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Naticoidea","Naticidae","Polinicinae","","Euspira","pallida",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03310-001",1898274458,"","","","",873876,"MOL"
"Fusinus sp.","","","","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Fasciolariidae","Fusininae","","Fusinus","",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-021",1898321859,"","","","",129947,"MOL"
"Fusitriton oregonensis","(Redfield, 1848)","","Oregon triton","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Tonnoidea","Ranellidae","","","Fusitriton","oregonensis",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1973-09-20","Andy Lamb & Donna Gibbs","PMLS","",NA,"2023-05-27","Daniella LoScerbo","iNat:166012098","",448389,"MOL"
"Gadila aberrans","(Whiteaves, 1887)","","aberrant toothshell","Animalia","Mollusca","","","Scaphopoda","","","Gadilida","Gadilimorpha","","Gadilidae","","","Gadila","aberrans",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03327",1898278030,"","","","",509660,"MOL"
"Gari californica","(Conrad, 1849)","","California sunsetclam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Psammobiidae","","","Gari","californica",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2005-12-10","Andy Lamb","PMLS","",NA,"","","","",354323,"MOL"
"Gastropteron pacificum","Bergh, 1894","","winged sea slug","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Gastropteridae","","","Gastropteron","pacificum",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1994-02-27","Charlie Gibbs","PMLS","",NA,"2009-07-26","Karolle Wall","iNat:97178769","",49839,"MOL"
"Geitodoris heathi","(MacFarland, 1905)","","Heath's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Doridoidea","Discodorididae","","","Geitodoris","heathi",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",NA,"2009-11-14","Karin Fletcher","iNat:68751132","",47505,"MOL"
"Glycymeris septentrionalis","(Middendorff, 1849)","","western bittersweet","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Arcida","","Arcoidea","Glycymerididae","","","Glycymeris","septentrionalis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00294",1898292826,"","","","",479438,"MOL"
"Haliotis kamtschatkana","Jonas, 1845","","northern abalone","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Lepetellida","","Haliotoidea","Haliotidae","","","Haliotis","kamtschatkana",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1981-05-31","Andy Lamb","PMLS","",NA,"","","","",56654,"MOL"
"Hallaxa chani","Gosliner & G. C. Williams, 1975","","Chan's dorid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Chromodoridoidea","Actinocyclidae","","","Hallaxa","chani",NA,"",NA,"native","unlisted",NA,"new 2009","observed","","","","",NA,"2009-11-15","Karin Fletcher","iNat:68751508","",48721,"MOL"
"Haminoea vesicula","(Gould, 1855)","","white bubble shell","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Haminoeoidea","Haminoeidae","","","Haminoea","vesicula",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2018-06-24","Karin Fletcher","PMLS","",NA,"2018-05-30","Karolle Wall","iNat:12970636","",49812,"MOL"
"Hermissenda crassicornis","(Eschscholtz, 1831)","","thick-horned nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Aeolidioidea","Myrrhinidae","","","Hermissenda","crassicornis",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1969-02-21","Andy Lamb","PMLS","",NA,"2009-07-24","Tyson Ehlers","iNat:8849417","",495552,"MOL"
"Hiatella arctica","(Linnaeus, 1767)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Adapedonta","","Hiatelloidea","Hiatellidae","","","Hiatella","arctica",NA,"",NA,"","",NA,"new 2023","observed","","","","",NA,"2023-06-04","Kendall McLaughlin","iNat:165845820","",117617,"MOL"
"Humilaria kennerleyi","(Reeve, 1863)","","Kennerley's venus","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","","","Humilaria","kennerleyi",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00318-002",1898275723,"","","","",873901,"MOL"
"Katharina tunicata","(Wood, 1815)","","black leather chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Katharina","tunicata",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1993-08-16","Andy Lamb","PMLS","",NA,"2019-04-29","Andrew Simon","iNat:24824671","",47632,"MOL"
"Keenaea centifilosa","(Carpenter, 1864)","","cockle","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Cardioidea","Cardiidae","","","Keenaea","centifilosa",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00327",1898273217,"","","","reported as Nemocardium centifilosum (RBCM 979-00327)",962184,"MOL"
"Keenocardium blandum","(Gould, 1850)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Cardioidea","Cardiidae","Clinocardiinae","","Keenocardium","blandum",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-017",1898304642,"","","","",940598,"MOL"
"Kellia suborbicularis","(Montagu, 1803)","","suborbicular kellyclam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Galeommatida","","Galeommatoidea","Lasaeidae","","","Kellia","suborbicularis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2006-06-30","Andy Lamb","PMLS","",NA,"","","","",253475,"MOL"
"Lacuna variegata","Carpenter, 1864","","variable lacuna","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Lacuninae","","Lacuna","variegata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2009-02-08","Andy Lamb","PMLS","",NA,"","","","",339150,"MOL"
"Lacuna vincta","","","","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Lacuninae","","Lacuna","vincta",NA,"",NA,"","",NA,"new 2023","observed","","","","",NA,"2023-06-17","Andrew Simon","iNat:168022884","",193902,"MOL"
"Lepeta concentrica","(Middendorff, 1848)","","ringed blind limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lepetidae","","","Cryptobranchia","concentrica",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2007-10-14","Andy Lamb","PMLS","",NA,"","","","",1240081,"MOL"
"Lepidochitona sp.","","","chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Lepidochitonidae","","","Lepidochitona","",NA,"",NA,"","",NA,"reported","unobserved","1893-06-01","Charles Newcombe","RBCM","991-00066-001",1898303601,"","","","",130883,"MOL"
"Lepidozona interstincta","(Gould, 1852)","","smooth lepidozona","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Chitonina","Chitonoidea","Ischnochitonidae","","","Lepidozona","interstincta",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1986-09-30","","RBCM","986-00197-069",NA,"","","","",131231,"MOL"
"Lepidozona mertensii","(Middendorff, 1847)","","Merten's chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Chitonina","Chitonoidea","Ischnochitonidae","","","Lepidozona","mertensii",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1995-01-17","Robert Forsyth & Tammy Forsyth","RBCM","002-00070-001",NA,"2023-06-24","Dave ""Zeuss"" Cochrane","iNat:169325937","",117621,"MOL"
"Tripoplax trifida","(P. P. Carpenter, 1864) AphiaID","","three-rib chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Chitonina","Chitonoidea","Ischnochitonidae","","","Tripoplax","trifida",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1999-07-31","Charlie Gibbs","PMLS","",NA,"","","","reported as Lepidozona trifida",500743,"MOL"
"Leukoma staminea","(Conrad, 1837)","","Pacific littleneck clam","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","Chioninae","","Leukoma","staminea",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2007-10-14","Andy Lamb","PMLS","",NA,"2016-09-01","Andrew Simon","iNat:4017301","",333608,"MOL"
"Limacia cockerelli","(MacFarland, 1905)","","Cockerell's nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Doridina","Polyceroidea","Polyceridae","Triophinae","","Limacia","cockerelli",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1985-12-07","Andy Lamb","PMLS","",NA,"","","","",538830,"MOL"
"Limacina helicina","(Phipps, 1774)","","helicid pteropod","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Pteropoda","Euthecosomata","Limacinoidea","Limacinidae","","","Limacina","helicina",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2009-04-04","Andy Lamb","PMLS","",NA,"","","","",345356,"MOL"
"Lirabuccinum dirum","(Reeve, 1846)","","dire whelk","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Buccinidae","","","Lirabuccinum","dirum",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2019-05-05","Kiara Ganon","iNat:24725394","",117642,"MOL"
"Littorina scutulata","Gould, 1849","","checkered periwinkle","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Littorininae","","Littorina","scutulata",NA,"",NA,"native","unlisted",NA,"new 2015","observed","","","","",NA,"2015-03-04","Andrew Simon","iNat:2566456","",69995,"MOL"
"Littorina sitkana","Philippi, 1846","","Sitka periwinkle","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Littorininae","","Littorina","sitkana",NA,"",NA,"native","unlisted",NA,"new 2017","observed","","","","",NA,"2017-02-23","Kathleen Buckley","iNat:5185500","",129298,"MOL"
"Lottia digitalis","(Rathke, 1833)","","fingered limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lottiidae","Lottiinae","","Lottia","digitalis",NA,"",NA,"native","unlisted",NA,"new 2016","observed","","","","",NA,"2016-09-01","Andrew Simon","iNat:4017022","",64287,"MOL"
"Lottia pelta","(Rathke, 1833)","","shield limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lottiidae","Lottiinae","","Lottia","pelta",NA,"",NA,"native","unlisted",NA,"new 2017","observed","","","","",NA,"2017-04-10","Andrew Simon","iNat:5646967","",63243,"MOL"
"Lottia persona","(Rathke, 1833)","","mask limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lottiidae","Lottiinae","","Lottia","persona",NA,"",NA,"native","unlisted",NA,"new 2014","observed","","","","",NA,"2014-06-24","Michael Butler","iNat:38778846","",339143,"MOL"
"Lottia scutum","(Rathke, 1833)","","plate limpet","Animalia","Mollusca","","","Gastropoda","Patellogastropoda","","","","Lottioidea","Lottiidae","Lottiinae","","Lottia","scutum",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2006-06-30","Andy Lamb","PMLS","",NA,"2016-08-21","Tyrel Froese","iNat:4004998","",129962,"MOL"
"Lyonsia bracteata","(Gould, 1850)","","scaly lyonsia","Animalia","Mollusca","","","Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","","Lyonsia","bracteata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03305",1898276441,"","","","",1118981,"MOL"
"Macoma brota","Dall, 1916","","heavy macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","brota",NA,"",NA,"native","unlisted",NA,"new 2016","observed","","","","",NA,"2016-08-17","Andrew Simon","iNat:3910109","",504353,"MOL"
"Macoma calcarea","(Gmelin, 1791)","","chalky macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","calcarea",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","","RBCM","976-01146-008",1898275200,"","","","",861604,"MOL"
"Macoma carlottensis","Whiteaves, 1880","","Charlotte macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","carlottensis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","","RBCM","976-01146-009",1898266087,"","","","",957354,"MOL"
"Macoma nasuta","(Conrad, 1857)","","bent-nose macoma","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","nasuta",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2009-11-14","Andy Lamb","PMLS","",NA,"2016-08-21","Tyrel Froese","iNat:4005328","",117612,"MOL"
"Macoma obliqua","(J. Sowerby, 1817)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","Imparidentia","Cardiida","","Tellinoidea","Tellinidae","Macominae","","Macoma","obliqua",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-002",1898316814,"","","","",861605,"MOL"
"Magallana gigas","(Thunberg, 1793)","","Pacific oyster","Animalia","Mollusca","","","Bivalvia","Pteriomorphia","","Ostreida","","Ostreoidea","Ostreidae","","","Magallana","gigas",NA,"",NA,"non-native","unlisted",NA,"new 2016","observed","","","","",NA,"2016-08-17","Andrew Simon","iNat:3910078","",605992,"MOL"
"Margarites pupillus","(Gould, 1849)","","puppet margarite","Animalia","Mollusca","","","Gastropoda","Vetigastropoda","","Trochida","","Trochoidea","Margaritidae","","","Margarites","pupillus",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2009-02-08","Andy Lamb","PMLS","",NA,"2017-05-14","Scott Gilmore","iNat:6223678","",129922,"MOL"
"Marsenina rhombica","(Dall, 1871)","","marbled lamellarid","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","Velutininae","","Marsenina","rhombica",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2016-02-07","Andy Lamb","PMLS","",NA,"","","","",337741,"MOL"
"Marsenina stearnsii","(Dall, 1871)","","stearn's ear shell","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","Velutininae","","Marsenina","stearnsii",NA,"",NA,"native","unlisted",NA,"new 2016","observed","","","","",NA,"2016-04-07","Karolle Wall","iNat:2908642","",53555,"MOL"
"Megayoldia thraciaeformis","(Storer, 1838)","","broad yoldia","Animalia","Mollusca","","","Bivalvia","Protobranchia","","Nuculanida","","Nuculanoidea","Yoldiidae","","","Megayoldia","thraciaeformis",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1942-06-01","Dan Quayle","RBCM","991-00500-001",1898270739,"","","","",957355,"MOL"
"Melanella micans","(Carpenter, 1865)","","shining balcis","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Littorinimorpha","","Vanikoroidea","Eulimidae","","","Melanella","micans",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03323-001",1898291795,"","","","",733259,"MOL"
"Melanochlamys diomedea","(Bergh, 1894)","","Diomedes aglajid","Animalia","Mollusca","","","Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Aglajidae","","","Melanochlamys","diomedea",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1975-06-17","Philip Lambert","RBCM","975-00224-004",1898274481,"2018-05-29","Karolle Wall","iNat:12938503","reported as (syn) Aglaja diomedea",345334,"MOL"
"Melibe leonina","(Gould, 1852)","","hooded nudibranch","Animalia","Mollusca","","","Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia","Dendronotoidea","Tethydidae","","","Melibe","leonina",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1994-10-07","Andy Lamb","PMLS","",NA,"2006-10-06","jroderick","iNat:19274280","",48455,"MOL"
"Mitrella gausapata","(Gould, 1850)","","sea snail","Animalia","Mollusca","","","Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","","Mitrella","gausapata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03328",1898293242,"","","","",339169,"MOL"
"Modiolus modiolus","(Linnaeus, 1758)","","northern horsemussel","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Modiolinae","","Modiolus","modiolus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2005-12-10","Andy Lamb","PMLS","",NA,"","","","",123772,"MOL"
"Modiolus rectus","(Conrad, 1837)","","","Animalia","Mollusca","","","Bivalvia","Autobranchia","","Mytilida","","Mytiloidea","Mytilidae","Modiolinae","","Modiolus","rectus",NA,"",NA,"native","unlisted",NA,"reported","unobserved","1959-12-11","Dan Quayle","RBCM","989-00278-015",1898316253,"","","","",196218,"MOL"
"Mopalia ciliata","(G. B. Sowerby II, 1840)","","northern hairy chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","ciliata",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1999-07-31","Charlie Gibbs","PMLS","",NA,"2019-05-04","Isabelle M. Côté","iNat:129151035","Formerly reported as Mopalia kennerelyi",360858,"MOL"
"Mopalia hindsii","(Reeve, 1847)","","Hind's mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","hindsii",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1999-07-31","Charlie Gibbs","PMLS","",NA,"2009-07-23","Karolle Wall","iNat:97205562","",51725,"MOL"
"Mopalia lignosa","(Gould, 1846)","","woody chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","lignosa",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1986-09-30","","RBCM","986-00197-070",NA,"2018-08-10","Karolle Wall","iNat:15726095","",51724,"MOL"
"Mopalia muscosa","(Gould, 1846)","","mossy chiton","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","muscosa",NA,"",NA,"native","unlisted",NA,"confirmed","observed","2008-10-10","Andy Lamb","PMLS","",NA,"2017-05-26","Kris Krüg","iNat:6371640","",117633,"MOL"
"Mopalia phorminx","Berry, 1919","","feathery mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","phorminx",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2019-03-17","Andy Lamb","PMLS","",NA,"","","","",977159,"MOL"
"Mopalia sinuata","Carpenter, 1864","","dwarf hairy mopalia","Animalia","Mollusca","","","Polyplacophora","Neoloricata","","Chitonida","Acanthochitonina","Mopalioidea","Mopaliidae","Mopaliinae","","Mopalia","sinuata",NA,"",NA,"native","unlisted",NA,"reported","unobserved","2019-03-17","Andy Lamb","PMLS","",NA,"","","","",429863,"MOL"
