"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Balaenoptera acutorostrata","Lacépède, 1804",41550,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Balaenopteridae","Balaenoptera",NA,"acutorostrata","","species","BCCSN","","31161","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:31161","",NA,"","2004-04-09",2004,4,9,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",5000,"","","","",NA,NA,NA,"present","","",1,"","native","S4N (2006)","",NA,"","Confidence: probable","Balaenoptera acutorostrata","","",416
"Balaenoptera acutorostrata","Lacépède, 1804",41550,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Balaenopteridae","Balaenoptera",NA,"acutorostrata","","species","BCCSN","","109549","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:109549","",NA,"","2016-11-06",2016,11,6,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,NA,NA,"present","","",2,"","native","S4N (2006)","",NA,"","Confidence: probable","Balaenoptera acutorostrata","","",156
"Balaenoptera physalus","(Linnaeus, 1758)",41562,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Balaenopteridae","Balaenoptera",NA,"physalus","","species","BCCSN","","123168","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:123168","",NA,"","2017-07-04",2017,7,4,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2000,"","","","",NA,NA,NA,"present","","",1,"","native","S2N (2006)","",NA,"","Confidence: probable","Balaenoptera physalus","","",265
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","20035","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:20035","",NA,"","2001-04-14",2001,4,14,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",5000,"","","","",NA,NA,NA,"present","","",3,"","native","S3 (2006)","",NA,"","Confidence: probable","Eschrichtius robustus","","",373
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","55789","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:55789","",NA,"","2011-01-27",2011,1,27,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2000,"","","","",NA,NA,NA,"present","","",1,"","native","S3 (2006)","",NA,"","Confidence: possible","Eschrichtius robustus","","",69
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","56926","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:56926","",NA,"","2011-05-19",2011,5,19,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",10000,"","","","",NA,NA,NA,"present","","",1,"","native","S3 (2006)","",NA,"","","Eschrichtius robustus","","",301
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","59180","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:59180","",NA,"","2011-10-17",2011,10,17,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2000,"","","","",NA,NA,NA,"present","","",1,"","native","S3 (2006)","",NA,"","Confidence: probable","Eschrichtius robustus","","",182
"Eschrichtius robustus","(Lilljeborg, 1861)",41478,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Eschrichtiidae","Eschrichtius",NA,"robustus","","species","BCCSN","","122218","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:122218","",NA,"","2017-06-18",2017,6,18,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",2000,"","","","",NA,NA,NA,"present","","",1,"","native","S3 (2006)","",NA,"","Confidence: certain","Eschrichtius robustus","","",347
"Lagenorhynchus obliquidens","Gill, 1865",41510,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Delphinidae","Lagenorhynchus",NA,"obliquidens","","species","BCCSN","","85702","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:85702","",NA,"","2013-10-30",2013,10,30,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",5000,"","","","",NA,NA,NA,"present","","",12,"","native","S4S5 (2006)","",NA,"","Confidence: probable","Lagenorhynchus obliquidens","","",92
"Lagenorhynchus obliquidens","Gill, 1865",41510,"Animalia","Chordata","Vertebrata","Mammalia","Artiodactyla","Whippomorpha",NA,"","Delphinidae","Lagenorhynchus",NA,"obliquidens","","species","BCCSN","","96090","British Columbia Cetacean Sightings Network Observations","imerss.org:BCCSN:96090","",NA,"","2015-02-07",2015,2,7,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,NA,NA,"present","","",15,"","native","S4S5 (2006)","",NA,"","Confidence: certain","Lagenorhynchus obliquidens","","",21
