"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Leptosynapta transgressor","Heding, 1928","","subtidal burrowing sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Paractinopoda","","Apodida","","","Synaptidae","",NA,"Leptosynapta","transgressor",NA,"",NA,"native","unlisted","","2013-10-20","Andy Lamb","PMLS","",NA,"2013-10-20","Andy Lamb","PMLS","",NA,1,"reported","unobserved","",873898,"VAS"
"Luidia foliolata","Grube, 1866","","sand star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Paxillosida","","","Luidiidae","",NA,"Luidia","foliolata",NA,"",NA,"native","unlisted","","1959-12-11","Dan Quayle","RBCM","977-00454-001",NA,"2013-10-23","Andy Lamb","PMLS","",NA,18,"confirmed","unobserved","",195859,"VAS"
"Mediaster aequalis","Stimpson, 1857","","vermilion star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Goniasteridae","Mediasterinae",NA,"Mediaster","aequalis",NA,"",NA,"native","unlisted","","1971-08-21","Andy Lamb","PMLS","",NA,"2021-07-27","Dave Zeuss Cochrane","iNaturalist","",NA,156,"confirmed","observed","",293174,"VAS"
"Mesocentrotus franciscanus","(A. Agassiz, 1863)","","red sea urchin","Animalia","Echinodermata","Echinozoa","","Echinoidea","Euechinoidea","Echinacea","Camarodonta","","Odontophora","Strongylocentrotidae","",NA,"Mesocentrotus","franciscanus",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2022-06-26","Dave Zeuss Cochrane","iNaturalist","",NA,226,"confirmed","observed","",992313,"VAS"
"Ophiopholis kennerlyi","Lyman, 1860","","daisy brittle star","Animalia","Echinodermata","Asterozoa","","Ophiuroidea","Myophiuroida","Ophintegrida","Amphilepidida","Gnathophiurina","Ophiactoidea","Ophiopholidae","",NA,"Ophiopholis","kennerlyi",NA,"",NA,"native","unlisted","","1981-05-31","Andy Lamb","PMLS","",NA,"2019-03-17","Andy Lamb","PMLS","",NA,101,"confirmed","observed","",129228,"VAS"
"Ophiura luetkenii","(Lyman, 1860)","","gray brittle star","Animalia","Echinodermata","Asterozoa","","Ophiuroidea","Myophiuroidea","Euryophiurida","Ophiurida","Ophiurina","","Ophiuridae","Ophiurinae",NA,"Ophiura","luetkenii",NA,"",NA,"native","unlisted","","1973-06-14","Philip Lambert","RBCM","973-00137-009",NA,"2022-12-26","Dave Zeuss Cochrane","iNaturalist","",NA,101,"confirmed","observed","misspelled 'Ophiura lutkeni' in GBIF dataset",255865,"VAS"
"Ophiura sarsii","Lütken, 1855","","notched brittle star","Animalia","Echinodermata","Asterozoa","","Ophiuroidea","Myophiuroidea","Euryophiurida","Ophiurida","Ophiurina","","Ophiuridae","Ophiurinae",NA,"Ophiura","sarsii",NA,"",NA,"native","unlisted","","1993-05-09","Charlie Gibbs","PMLS","",NA,"2009-07-04","Andy Lamb","PMLS","",NA,10,"confirmed","unobserved","",202051,"VAS"
"Orthasterias koehleri","(de Loriol, 1897)","","rainbow star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","",NA,"Orthasterias","koehleri",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2019-05-04","Stefania Gorgopa","PMLS","",NA,167,"confirmed","observed","",47669,"VAS"
"Pentamera sp.","","","sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Phyllophoridae","",NA,"Pentamera","",NA,"",NA,"","","","2006-06-30","Andy Lamb","PMLS","",NA,"2006-06-30","Andy Lamb","PMLS","",NA,1,"reported","unobserved","",171674,"VAS"
"Pisaster brevispinus","(Stimpson, 1857)","","giant pink star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","",NA,"Pisaster","brevispinus",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2023-04-04","Dave Zeuss Cochrane","iNaturalist","",NA,146,"confirmed","observed","",49539,"VAS"
"Pisaster ochraceus","(Brandt, 1835)","","ochre star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","",NA,"Pisaster","ochraceus",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2022-11-26","Alex Niese","iNaturalist","",NA,299,"confirmed","observed","",49699,"VAS"
"Psolidium bidiscum","Lambert, 1996","","pale creeping pedal sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Psolidae","",NA,"Psolidium","bidiscum",NA,"",NA,"native","unlisted","","1996-09-28","Charlie Gibbs","PMLS","",NA,"1996-09-28","Charlie Gibbs","PMLS","",NA,1,"reported","unobserved","",873892,"VAS"
"Psolus chitonoides","Clark, 1901","","creeping pedal sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Psolidae","",NA,"Psolus","chitonoides",NA,"",NA,"native","unlisted","","1973-09-20","Andy Lamb","PMLS","",NA,"2019-05-04","","iNaturalist","",NA,139,"confirmed","observed","",473064,"VAS"
"Psolus squamatus","(O.F. Müller, 1776)","","white creeping pedal sea cucumber","Animalia","Echinodermata","Echinozoa","","Holothuroidea","Actinopoda","","Dendrochirotida","","","Psolidae","",NA,"Psolus","squamatus",NA,"",NA,"native","unlisted","","2008-10-09","Andy Lamb","PMLS","",NA,"2011-11-25","Andy Lamb","PMLS","",NA,2,"confirmed","unobserved","",293149,"VAS"
"Pteraster tesselatus","Ives, 1888","","slime star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Spinulosacea","Spinulosida","","","Pterasteridae","",NA,"Pteraster","tesselatus",NA,"",NA,"native","unlisted","","1971-08-21","Andy Lamb","PMLS","",NA,"2017-06-25","Jackson W.F. Chu","iNaturalist","",NA,88,"confirmed","observed","",194701,"VAS"
"Pycnopodia helianthoides","(Brandt, 1835)","","sunflower star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","Pycnopodiinae",NA,"Pycnopodia","helianthoides",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2021-07-27","Dave Zeuss Cochrane","iNaturalist","",NA,193,"confirmed","observed","",47673,"VAS"
"Solaster dawsoni","Verrill, 1880","","morning sun star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Solasteridae","",NA,"Solaster","dawsoni",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2014-01-03","Andy Lamb","PMLS","",NA,119,"confirmed","unobserved","",117692,"VAS"
"Solaster endeca","(Linnaeus, 1771)","","northern sun star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Solasteridae","",NA,"Solaster","endeca",NA,"",NA,"native","unlisted","","2006-06-23","Andy Lamb","PMLS","",NA,"2017-03-18","Andy Lamb","PMLS","",NA,12,"confirmed","unobserved","",371725,"VAS"
"Solaster stimpsoni","Verrill, 1880","","striped sun star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Valvatacea","Valvatida","","","Solasteridae","",NA,"Solaster","stimpsoni",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2016-02-27","Andy Lamb","PMLS","",NA,142,"confirmed","observed","",208013,"VAS"
"Strongylocentrotus droebachiensis","(O.F. Müller, 1776)","","green sea urchin","Animalia","Echinodermata","Echinozoa","","Echinoidea","Euechinoidea","Echinacea","Camarodonta","","Odontophora","Strongylocentrotidae","",NA,"Strongylocentrotus","droebachiensis",NA,"",NA,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",NA,"2023-03-25","Dave Zeuss Cochrane","iNaturalist","",NA,178,"confirmed","observed","",120070,"VAS"
"Strongylocentrotus pallidus","(G.O. Sars, 1871)","","white sea urchin","Animalia","Echinodermata","Echinozoa","","Echinoidea","Euechinoidea","Echinacea","Camarodonta","","Odontophora","Strongylocentrotidae","",NA,"Strongylocentrotus","pallidus",NA,"",NA,"native","unlisted","","1986-04-08","","RBCM","986-00191-013",NA,"2005-12-10","Andy Lamb","PMLS","",NA,3,"confirmed","unobserved","",129221,"VAS"
"Strongylocentrotus purpuratus","(Stimpson, 1857)","","purple urchin","Animalia","Echinodermata","Echinozoa","","Echinoidea","Euechinoidea ","Echinacea","Camarodonta","","Odontophora","Strongylocentrotidae","",NA,"Strongylocentrotus","purpuratus",NA,"",NA,"native","unlisted","","1986-04-08","","RBCM","986-00191-012",NA,"1986-04-08","","RBCM","986-00191-012",NA,1,"reported","unobserved","",48035,"VAS"
"Stylasterias forreri","(de Loriol, 1887)","","velcro star","Animalia","Echinodermata","Asterozoa","","Asteroidea","","Forcipulatacea","Forcipulatida","","","Asteriidae","",NA,"Stylasterias","forreri",NA,"",NA,"native","unlisted","","1973-09-20","Andy Lamb","PMLS","",NA,"2011-09-07","Andy Lamb","PMLS","",NA,22,"confirmed","unobserved","",255883,"VAS"
