"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Bathypera feminalba","Young & Vazquez, 1995",800127,"Animalia","Chordata","Tunicata","Ascidiacea","Stolidobranchia","",NA,"","Pyuridae","Bathypera",NA,"feminalba","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:10744","Andy Lamb",NA,"","2009-04-04",2009,4,4,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,92,NA,"present","","",1,"","native","unlisted","",NA,"","","Bathypera feminalba","","",332
"Clavelina huntsmani","Van Name, 1931",51984,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Clavelinidae","Clavelina",NA,"huntsmani","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:1537","Charlie Gibbs",NA,"","1995-02-24",1995,2,24,"HumanObservation","Alcala Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,58,NA,"present","","",NA,"","native","unlisted","",NA,"","","Clavelina huntsmani","","",353
"Clavelina huntsmani","Van Name, 1931",51984,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Clavelinidae","Clavelina",NA,"huntsmani","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:1636","Charlie Gibbs",NA,"","1995-02-25",1995,2,25,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,96,NA,"present","","",NA,"","native","unlisted","",NA,"","","Clavelina huntsmani","","",332
"Clavelina huntsmani","Van Name, 1931",51984,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Clavelinidae","Clavelina",NA,"huntsmani","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:1898","Charlie Gibbs",NA,"","1995-02-26",1995,2,26,"HumanObservation","wreck of the Point Grey",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,43,NA,"present","","",NA,"","native","unlisted","",NA,"","","Clavelina huntsmani","","",375
"Clavelina huntsmani","Van Name, 1931",51984,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Clavelinidae","Clavelina",NA,"huntsmani","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:1972","Charlie Gibbs",NA,"","1995-02-26",1995,2,26,"HumanObservation","Virago Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,41,NA,"present","","",NA,"","native","unlisted","",NA,"","","Clavelina huntsmani","","",375
"Clavelina huntsmani","Van Name, 1931",51984,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Clavelinidae","Clavelina",NA,"huntsmani","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:2154","Charlie Gibbs",NA,"","1996-02-24",1996,2,24,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,70,NA,"present","","",NA,"","native","unlisted","",NA,"","","Clavelina huntsmani","","",332
"Didemnum vexillum","Kott, 2002",126506,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Didemnidae","Didemnum",NA,"vexillum","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:16558","Andy Lamb",NA,"","2013-10-23",2013,10,23,"HumanObservation","Galiano Conservancy Mound",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,54,NA,"present","","Count: very many",NA,"","non-native","unlisted","",NA,"","","Didemnum vexillum","","",164
"Diplosoma listerianum","(Milne-Edwards, 1841)",81778,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Didemnidae","Diplosoma",NA,"listerianum","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:2969","Charlie Gibbs",NA,"","1999-07-31",1999,7,31,"HumanObservation","Mathews Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,60,NA,"present","","Count: many",NA,"","cryoptogenic","unlisted","",NA,"","","Diplosoma listerianum","","",20
"Eudistoma purpuropunctatum","Lambert, 1989",492675,"Animalia","Chordata","Tunicata","Ascidiacea","Aplousobranchia","",NA,"","Polycitoridae","Eudistoma",NA,"purpuropunctatum","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:8893","Andy Lamb",NA,"","2008-11-12",2008,11,12,"HumanObservation","Mathews Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,91,NA,"present","","Count: some",NA,"","native","unlisted","",NA,"","","Eudistoma purpuropunctatum","","",20
"Pyura mirabilis","(Drasche, 1884)",552416,"Animalia","Chordata","Tunicata","Ascidiacea","Stolidobranchia","",NA,"","Pyuridae","Pyura",NA,"mirabilis","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:16450","Andy Lamb",NA,"","2013-10-23",2013,10,23,"HumanObservation","Retreat Cove South, island",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,67,NA,"present","","",1,"","native","unlisted","",NA,"","","Pyura mirabilis","","",206
"Styela montereyensis","(Dall, 1872)",333922,"Animalia","Chordata","Tunicata","Ascidiacea","Stolidobranchia","",NA,"","Styelidae","Styela",NA,"montereyensis","","species","iNaturalist","","","","imerss.org:iNat:2854893","Peter",NA,"","2015-05-16",2015,5,16,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",174,"","","","",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","Styela montereyensis","","",268
