"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Ampelisca hancocki","J.L. Barnard, 1954",295404,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Gammaridea",NA,"Ampeliscoidea","Ampeliscidae","Ampelisca",NA,"hancocki","","species","RBCM","Invertebrate Zoology","976-01146-018","","daf7672a-bea4-4f61-bba6-f35c4ee855a1","",NA,"","1961-06-22",1961,6,22,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",1,"","native","unlisted","",NA,"","","Ampelisca hancocki","","",375
"Ampelisca lobata","Holmes, 1908",295407,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Amphilochidea",NA,"Synopioidea","Ampeliscidae","Ampelisca",NA,"lobata","","species","RBCM","Invertebrate Zoology","976-01146-017","","1e2ef28f-bd7f-46d5-8438-3131e6d737ce","",NA,"","1961-06-22",1961,6,22,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",1,"","native","unlisted","",NA,"","","Ampelisca lobata","","",375
"Ampelisca unsocalae","J.L. Barnard, 1960",313004,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Amphilochidea",NA,"Synopioidea","Ampeliscidae","Ampelisca",NA,"unsocalae","","species","RBCM","Invertebrate Zoology","976-01146-019","","c9865647-c03d-48be-80fd-77a6806ab9c5","",NA,"","1961-06-22",1961,6,22,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","Ampelisca unsocalae","","",375
"Ampithoe lacertosa","Bate, 1858",260501,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Corophioidea","Ampithoidae","Ampithoe",NA,"lacertosa","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:9793","Andy Lamb",NA,"","2009-02-14",2009,2,14,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,92,NA,"present","","",1,"","native","unlisted","",NA,"","","Ampithoe lacertosa","","",332
"Balanus rostratus","Hoek, 1883",782656,"Animalia","Arthropoda","Crustacea","Hexanauplia","Sessilia","Balanomorpha",NA,"Balanoidea","Balanidae","Balanus",NA,"rostratus","","species","RBCM","Invertebrate Zoology","986-00197-026","","e9a06f2c-97af-43c1-bf64-f34946deb516","",NA,"","1986-09-30",1986,9,30,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",1000,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","Balanus rostratus","","",44
"Bopyroides hippolytes","(Kröyer, 1838)",873867,"Animalia","Arthropoda","Crustacea","Malacostraca","Isopoda","Cymothoida",NA,"Bopyroidea","Bopyridae","Bopyroides",NA,"hippolytes","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:13200","Andy Lamb",NA,"","2010-07-17",2010,7,17,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,86,NA,"present","","",1,"","native","unlisted","",NA,"","","Bopyroides hippolytes","","",332
"Desdimelita californica","(Alderman, 1936)",1128629,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Hadzioidea","Melitidae","Desdimelita",NA,"californica","","species","CMN","","CMNC 2006-0611","Canadian Museum of Nature Biological Specimens","imerss.org:CMN:CMNC 2006-0611","O'Clair, Rita M.",NA,"","1976-06-19",1976,6,19,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"Andrew Simon","corrected","interpretation of locality, and/or inference based on local knowledge and species ecology","moved offshore Virago Point; coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",20,"","native","unlisted","",NA,"","","Desdimelita californica","","",375
"Desdimelita microdentata","Jarrett & Bousfield, 1996",1128632,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Hadzioidea","Melitidae","Desdimelita",NA,"microdentata","","species","CMN","","CMNC 2007-0102","Canadian Museum of Nature Biological Specimens","imerss.org:CMN:CMNC 2007-0102","O'Clair, Rita M.",NA,"","1976-06-19",1976,6,19,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"Andrew Simon","corrected","interpretation of locality, and/or inference based on local knowledge and species ecology","moved offshore Virago Point; coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","M/F",6,"male, female","native","unlisted","",NA,"","","Desdimelita microdentata","","",375
"Discorsopagurus schmitti","(Stevens, 1925)",459564,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Paguroidea","Paguridae","Discorsopagurus",NA,"schmitti","","species","RBCM","Invertebrate Zoology","986-00197-025","","336b470d-88ea-48ce-85b7-7315c025103c","",NA,"","1986-09-30",1986,9,30,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",1000,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",8,"","native","unlisted","",NA,"","","Discorsopagurus schmitti","","",44
"Fabia subquadrata","Dana, 1851",117669,"Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Pleocyemata",NA,"Pinnotheroidea","Pinnotheridae","Fabia",NA,"subquadrata","","species","RBCM","Invertebrate Zoology","985-00143-001","","230aab93-c281-4e07-8f6b-db4095af3e66","Josephine Hart",NA,"","1934-09-06",1934,9,6,"PreservedSpecimen","Galiano Island; Montague Harbour: entrance to harbour",NA,"Galiano Island","British Columbia","Canada","CA",10000,"","","","coordinate uncertainty inferred from coordinate resolution",NA,21.04,NA,"present","","",1,"","native","unlisted","",NA,"","","Fabia subquadrata","","",81
