"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Micrura verrilli","Coe, 1901",117598,"Animalia","Nemertea","","Pilidiophora","Heteronemertea","",NA,"","Lineidae","Micrura",NA,"verrilli","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:3674","Andy Lamb",NA,"","2006-09-28",2006,9,28,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,82,NA,"present","","",1,"","native","unlisted","",NA,"","","Micrura verrilli","","",347
"Tubulanus albocinctus","(Coe, 1904)",873878,"Animalia","Nemertea","","Palaeonemertea","Tubulaniformes","",NA,"","Tubulanidae","Tubulanus",NA,"albocinctus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:2292","Charlie Gibbs",NA,"","1996-05-29",1996,5,29,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,70,NA,"present","","",NA,"","native","unlisted","",NA,"","","Tubulanus albocinctus","","",347
"Tubulanus albocinctus","(Coe, 1904)",873878,"Animalia","Nemertea","","Palaeonemertea","Tubulaniformes","",NA,"","Tubulanidae","Tubulanus",NA,"albocinctus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:11421","Andy Lamb",NA,"","2009-06-12",2009,6,12,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,84,NA,"present","","",1,"","native","unlisted","",NA,"","","Tubulanus albocinctus","","",347
