"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Aplidium californicum","(Ritter & Forsyth, 1917)","","California sea pork","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Polyclinidae","",,"Aplidium","californicum",,"",,"native","unlisted","","1985-08-02","Andy Lamb","PMLS","",,"2008-05-30","Andy Lamb","PMLS","",,5,"confirmed","unobserved","",131232,"VAS"
"Aplidium kottae","Brunetti, 2007","","red ascidian","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Polyclinidae","",,"Aplidium","kottae",,"",,"native","unlisted","","1985-07-29","Andy Lamb","PMLS","",,"2017-08-22","Andy Lamb","PMLS","",,54,"confirmed","unobserved","",195372,"VAS"
"Ascidia columbiana","(Huntsman, 1912)","","sea blisters","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Ascidiidae","",,"Ascidia","columbiana",,"",,"native","unlisted","","2008-04-27","Andy Lamb","PMLS","",,"2011-11-18","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",428617,"VAS"
"Ascidia paratropa","(Huntsman, 1912)","","glassy tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Ascidiidae","",,"Ascidia","paratropa",,"",,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,43,"confirmed","unobserved","",415129,"VAS"
"Bathypera feminalba","Young & Vazquez, 1995","","tiny white tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Pyuridae","",,"Bathypera","feminalba",,"",,"native","unlisted","","2009-04-04","Andy Lamb","PMLS","",,"2009-04-04","Andy Lamb","PMLS","",,1,"reported","unobserved","",800127,"VAS"
"Boltenia villosa","(Stimpson, 1864)","","hairy tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Pyuridae","",,"Boltenia","villosa",,"",,"native","unlisted","","1969-02-22","Andy Lamb","PMLS","",,"2022-02-12","Dave Zeuss Cochrane","iNaturalist","",,86,"confirmed","observed","",194568,"VAS"
"Botrylloides violaceus","Oka, 1927","","lined compound ascidian","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Styelidae","",,"Botrylloides","violaceus",,"",,"non-native","unlisted","","2007-10-14","Andy Lamb","PMLS","",,"2020-06-08","","iNaturalist","",,2,"confirmed","observed","",81776,"VAS"
"Chelyosoma productum","Stimpson, 1864","","disc-top tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Corellidae","",,"Chelyosoma","productum",,"",,"native","unlisted","","1969-02-22","Andy Lamb","PMLS","",,"2012-10-06","Andy Lamb","PMLS","",,35,"confirmed","unobserved","",428793,"VAS"
"Ciona savignyi","Herdman, 1882","","sea vase","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Cionidae","",,"Ciona","savignyi",,"",,"cryoptogenic","unlisted","","1985-12-07","Andy Lamb","PMLS","",,"2008-10-10","Andy Lamb","PMLS","",,13,"confirmed","unobserved","",81614,"VAS"
"Clavelina huntsmani","Van Name, 1931","","light-bulb tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Clavelinidae","",,"Clavelina","huntsmani",,"",,"native","unlisted","","1995-02-24","Charlie Gibbs","PMLS","",,"1996-02-24","Charlie Gibbs","PMLS","",,5,"reported","unobserved","",51984,"VAS"
"Cnemidocarpa finmarkiensis","(Kiaer, 1893)","","broadbase tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Stolidobranchia","","","Styelidae","",,"Cnemidocarpa","finmarkiensis",,"",,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",,"2022-11-26","Alex Niese","iNaturalist","",,192,"confirmed","observed","",47807,"VAS"
"Corella inflata","Huntsman, 1912","","brooding transparent tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Corellidae","",,"Corella","inflata",,"",,"native","unlisted","","1985-08-02","Andy Lamb","PMLS","",,"2016-03-05","Andy Lamb","PMLS","",,4,"confirmed","unobserved","",347987,"VAS"
"Corella willmeriana","Herdman, 1898","","transparent tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Phlebobranchia","","","Corellidae","",,"Corella","willmeriana",,"",,"native","unlisted","","1969-02-21","Andy Lamb","PMLS","",,"2019-03-17","Andy Lamb","PMLS","",,118,"confirmed","unobserved","",447661,"VAS"
"Cystodytes lobatus","(Ritter, 1900)","","lobed compound tunicate","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Polycitoridae","",,"Cystodytes","lobatus",,"",,"native","unlisted","","1993-05-09","Charlie Gibbs","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,21,"confirmed","unobserved","",339197,"VAS"
"Didemnum carnulentum","Ritter & Forsyth, 1917","","Pacific white crust","Animalia","Chordata","Tunicata","","Ascidiacea","","","Aplousobranchia","","","Didemnidae","",,"Didemnum","carnulentum",,"",,"native","unlisted","","1985-07-29","Andy Lamb","PMLS","",,"2006-12-02","Charlie Gibbs","PMLS","",,18,"confirmed","unobserved","",344918,"VAS"
