"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Ampelisca hancocki","J.L. Barnard, 1954",295404,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Gammaridea",NA,"Ampeliscoidea","Ampeliscidae","Ampelisca",NA,"hancocki","","species","RBCM","Invertebrate Zoology","976-01146-018","","daf7672a-bea4-4f61-bba6-f35c4ee855a1","",NA,"","1961-06-22",1961,6,22,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",1,"","native","unlisted","",NA,"","","Ampelisca hancocki","","",415
"Ampelisca lobata","Holmes, 1908",295407,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Amphilochidea",NA,"Synopioidea","Ampeliscidae","Ampelisca",NA,"lobata","","species","RBCM","Invertebrate Zoology","976-01146-017","","1e2ef28f-bd7f-46d5-8438-3131e6d737ce","",NA,"","1961-06-22",1961,6,22,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",1,"","native","unlisted","",NA,"","","Ampelisca lobata","","",415
"Ampelisca unsocalae","J.L. Barnard, 1960",313004,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Amphilochidea",NA,"Synopioidea","Ampeliscidae","Ampelisca",NA,"unsocalae","","species","RBCM","Invertebrate Zoology","976-01146-019","","c9865647-c03d-48be-80fd-77a6806ab9c5","",NA,"","1961-06-22",1961,6,22,"PreservedSpecimen","",NA,"Galiano Island","British Columbia","Canada","CA",100,"","","","coordinate uncertainty inferred from coordinate resolution",NA,NA,NA,"present","","",NA,"","native","unlisted","",NA,"","","Ampelisca unsocalae","","",415
"Ampithoe lacertosa","Bate, 1858",260501,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Corophioidea","Ampithoidae","Ampithoe",NA,"lacertosa","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:9793","Andy Lamb",NA,"","2009-02-14",2009,2,14,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,92,NA,"present","","",1,"","native","unlisted","",NA,"","","Ampithoe lacertosa","","",347
"Argulus pugettensis","Dana, 1853",873865,"Animalia","Arthropoda","Crustacea","Ichthyostraca","Arguloida","",NA,"","Argulidae","Argulus",NA,"pugettensis","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:4771","Andy Lamb",NA,"","2007-09-29",2007,9,29,"HumanObservation","Race Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,69,NA,"present","","",1,"","native","unlisted","",NA,"","","Argulus pugettensis","","",416
"Argulus pugettensis","Dana, 1853",873865,"Animalia","Arthropoda","Crustacea","Ichthyostraca","Arguloida","",NA,"","Argulidae","Argulus",NA,"pugettensis","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:15281","Andy Lamb",NA,"","2012-08-09",2012,8,9,"HumanObservation","Alcala Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,86,NA,"present","","",1,"","native","unlisted","",NA,"","","Argulus pugettensis","","",392
"Bopyroides hippolytes","(Kröyer, 1838)",873867,"Animalia","Arthropoda","Crustacea","Malacostraca","Isopoda","Cymothoida",NA,"Bopyroidea","Bopyridae","Bopyroides",NA,"hippolytes","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:13200","Andy Lamb",NA,"","2010-07-17",2010,7,17,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,86,NA,"present","","",1,"","native","unlisted","",NA,"","","Bopyroides hippolytes","","",347
"Caprella alaskana","Mayer, 1903",508889,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Caprelloidea","Caprellidae","Caprella",NA,"alaskana","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:7315","Andy Lamb",NA,"","2008-06-21",2008,6,21,"HumanObservation","Dionisio Reef",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,76,NA,"present","","Count: few",NA,"","native","unlisted","",NA,"","","Caprella alaskana","","",416
"Caprella alaskana","Mayer, 1903",508889,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Senticaudata",NA,"Caprelloidea","Caprellidae","Caprella",NA,"alaskana","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:18411","Emily Adamczyk",NA,"","2019-05-04",2019,5,4,"HumanObservation","Montague Harbour",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,33,NA,"present","","Count: few",NA,"","native","unlisted","",NA,"","","Caprella alaskana","","",130
"Chromopleustes oculatus","(Holmes, 1908)",796029,"Animalia","Arthropoda","Crustacea","Malacostraca","Amphipoda","Amphilochidea",NA,"Amphilochoidea","Pleustidae","Chromopleustes",NA,"oculatus","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:1414","Charlie Gibbs",NA,"","1995-02-24",1995,2,24,"HumanObservation","Virago Point",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,68,NA,"present","","",NA,"","native","unlisted","",NA,"","","Chromopleustes oculatus","","",392
