"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Balaenoptera acutorostrata","Lacépède, 1804","","northern minke whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","",,"Balaenoptera","acutorostrata",,"",,"native","S4N (2006)","","2004-04-09","","BCCSN","31161",,"2016-11-06","","BCCSN","109549",,2,"confirmed","unobserved","",41550,"VAS"
"Balaenoptera physalus","(Linnaeus, 1758)","","fin whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","",,"Balaenoptera","physalus",,"",,"native","S2N (2006)","1-T (2006)","2017-07-04","","BCCSN","123168",,"2017-07-04","","BCCSN","123168",,1,"new 2017","unobserved","",41562,"VAS"
"Eschrichtius robustus","(Lilljeborg, 1861)","","grey whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Eschrichtiidae","",,"Eschrichtius","robustus",,"",,"native","S3 (2006)","1-SC (2005)","2001-04-14","","BCCSN","20035",,"2017-06-18","","BCCSN","122218",,5,"confirmed","unobserved","",41478,"VAS"
"Eumetopias jubatus","(Schreber, 1776)","","Steller sea lion","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Pinnipedia","","Otariidae","Otariidae",,"Eumetopias","jubatus",,"",,"native","S3B,S4N (2013)","1-SC (2005)","1985-12-07","Andy Lamb","PMLS","",,"2022-10-30","Helena","iNaturalist","",,33,"confirmed","observed","",41755,"VAS"
"Lagenorhynchus obliquidens","Gill, 1865","","Pacific white-sided dolphin","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Delphinidae","",,"Lagenorhynchus","obliquidens",,"",,"native","S4S5 (2006)","","2013-10-30","","BCCSN","85702",,"2015-02-07","","BCCSN","96090",,2,"confirmed","unobserved","",41510,"VAS"
"Lontra canadensis","(Schreber, 1777)","","North American river otter","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Caniformia","","Mustelidae","Mustelidae",,"Lontra","canadensis",,"",,"native","S5 (2015)","","2006-09-04","","iNaturalist","",,"2022-12-01","","iNaturalist","",,40,"confirmed","observed","",41777,"VAS"
"Megaptera novaeangliae","(Borowski, 1781)","","humpback whale","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Balaenopteridae","",,"Megaptera","novaeangliae",,"",,"native","S3 (2006)","1-SC (2017)","2004-05-28","","BCCSN","8765",,"2022-07-18","Catiemac","iNaturalist","",,98,"confirmed","observed","",41566,"VAS"
"Neogale vison","(Schreber, 1777)","","American mink","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Caniformia","","Mustelidae","Mustelidae",,"Neogale","vison",,"",,"native","S5 (2015)","","2017-05-28","Ayla M","iNaturalist","",,"2022-10-27","Kevin Toomer","iNaturalist","",,8,"new 2017","observed","",74758,"VAS"
"Orcinus orca","(Linnaeus, 1758)","","orca","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Delphinidae","",,"Orcinus","orca",,"",,"native","S1 (2021)","1-E (2003)","2001-05-21","","BCCSN","1845",,"2022-09-04","Liam Steele","iNaturalist","",,442,"confirmed","observed","",41521,"VAS"
"Phoca vitulina richardii","Linnaeus, 1758","Gray, 1864","Pacific harbor seal","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Pinnipedia","","Phocidae","Phocidae",,"Phoca","vitulina",,"richardii",,"native","S5 (2006)","","1995-02-24","Charlie Gibbs","PMLS","",,"2022-10-04","Paul Grieve","iNaturalist","",,135,"confirmed","observed","",41708,"VAS"
"Phocoena phocoena","(Linnaeus, 1758)","","harbour porpoise","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Phocoenidae","",,"Phocoena","phocoena",,"",,"native","S3 (2006)","1-SC (2005)","2007-10-04","","BCCSN","1439",,"2020-09-08","Erin Springinotic","iNaturalist","",,41,"confirmed","observed","",41440,"VAS"
"Phocoenoides dalli","(True, 1885)","","Dall’s porpoise","Animalia","Chordata","Vertebrata","","Mammalia","Theria","Laurasiatheria","Artiodactyla","Whippomorpha","","Phocoenidae","",,"Phocoenoides","dalli",,"",,"native","S4S5 (2006)","","2004-04-07","","BCCSN","35193",,"2022-03-27","Liam Ragan","iNaturalist","",,10,"confirmed","observed","",41446,"VAS"
"Zalophus californianus","(Lesson, 1828)","","California sea lion","Animalia","Chordata","Vertebrata","","Mammalia","","","Carnivora","Pinnipedia","","Otariidae","Otariidae",,"Zalophus","californianus",,"",,"native","S5N (2006)","","2016-05-27","","iNaturalist","",,"2022-02-24","Caitlin Robinson","iNaturalist","",,6,"new 2016","observed","",41740,"VAS"
