"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","reportingStatus","observation","firstReported","firstReportedBy","Collection.List","firstReportedCollectionNumber","firstReportedGBIF","firstObservediNat","firstObservedBy","firstObservedID","notes","ID","statsCode"
"Beroe abyssicola","Mortensen, 1927","","transluscent comb jelly","Animalia","Ctenophora","","","Nuda","","","Beroida","","","Beroidae","","","Beroe","abyssicola",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",NA,"2020-05-09","catiemac","iNat:57175255","",1090851,"CNI"
"Bolinopsis infundibulum","(O.F. Müller, 1776)","","lobed sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Lobata","","","Bolinopsidae","","","Bolinopsis","infundibulum",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1996-05-29","Charlie Gibbs","PMLS","",NA,"2013-10-13","Peter Luckham","iNat:2976644","",492705,"CNI"
"Bolinopsis microptera","(A. Agassiz, 1865)","","lobed sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Lobata","","","Bolinopsidae","","","Bolinopsis","microptera",NA,"",NA,"native","unlisted",NA,"new 2008","observed","","","","",NA,"2008-05-22","Andrew Simon","iNat:116471946","",1419827,"CNI"
"Euplokamis dunlapae","Mills, 1987","","oval sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Cydippida","","","Euplokamidae","","","Euplokamis","dunlapae",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1995-02-25","Charlie Gibbs","PMLS","",NA,"2021-02-19","Dave ""Zeuss"" Cochrane","iNat:69845920","",873875,"CNI"
"Pleurobrachia bachei","A. Agassiz, 1860","","sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Cydippida","","","Pleurobrachiidae","","","Pleurobrachia","bachei",NA,"",NA,"native","unlisted",NA,"confirmed","observed","1981-05-31","Andy Lamb","PMLS","",NA,"2011-05-17","Karolle Wall","iNat:4028653","",117705,"CNI"
