"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Beroe abyssicola","Mortensen, 1927","","transluscent comb jelly","Animalia","Ctenophora","","","Nuda","","","Beroida","","","Beroidae","",,"Beroe","abyssicola",,"",,"native","unlisted","","1993-05-09","Charlie Gibbs","PMLS","",,"2021-04-18","Andrew Simon","iNaturalist","",,11,"confirmed","observed","",1090851,"VAS"
"Bolinopsis microptera","(A. Agassiz, 1865)","","lobed sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Lobata","","","Bolinopsidae","",,"Bolinopsis","microptera",,"",,"native","unlisted","","2008-05-24","Jackson W.F. Chu","iNaturalist","",,"2021-11-06","Andrew Simon","iNaturalist","",,6,"confirmed","observed","",1419827,"VAS"
"Euplokamis dunlapae","Mills, 1987","","oval sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Cydippida","","","Euplokamidae","",,"Euplokamis","dunlapae",,"",,"native","unlisted","","1995-02-25","Charlie Gibbs","PMLS","",,"2021-02-19","Dave Zeuss Cochrane","iNaturalist","",,2,"confirmed","observed","",873875,"VAS"
"Pleurobrachia bachei","A. Agassiz, 1860","","sea gooseberry","Animalia","Ctenophora","","","Tentaculata","","","Cydippida","","","Pleurobrachiidae","",,"Pleurobrachia","bachei",,"",,"native","unlisted","","1981-05-31","Andy Lamb","PMLS","",,"2021-05-07","Catiemac","iNaturalist","",,32,"confirmed","observed","",117705,"VAS"
