"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
"Myxilla (Myxilla) lacunosa","Lambe, 1893","","sulphur sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Myxillidae","",,"Myxilla","lacunosa",,"",,"native","unlisted","","1973-09-20","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,62,"reported","unobserved","",459826,"VAS"
"Pachychalina sp.","","","thick-strap sponges","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Haplosclerida","","","Niphatidae","",,"Pachychalina","",,"",,"","","","1985-08-02","Andy Lamb","PMLS","",,"2008-11-13","Andy Lamb","PMLS","",,7,"confirmed","unobserved","",873877,"VAS"
"Pleraplysilla sp.","","","slippery white sponge","Animalia","Porifera","","","Demospongiae","Keratosa","","Dictyoceratida","","","Dysideidae","",,"Pleraplysilla","",,"",,"","","","2006-09-29","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,2,"confirmed","unobserved","undescribed species",623055,"VAS"
"Polymastia pachymastia","Laubenfels, 1932","","aggregated nipple sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Hadromerida","","","Polymastiidae","",,"Polymastia","pachymastia",,"",,"native","unlisted","","1994-10-07","Andy Lamb","PMLS","",,"2018-06-19","Andy Lamb","PMLS","",,16,"confirmed","observed","",117717,"VAS"
"Rhabdocalyptus dawsoni","(Lambe, 1893)","","boot sponge","Animalia","Porifera","","","Hexactinellida ","Hexasterophora","","Lyssacinosida","","","Rossellidae","Acanthascinae",,"Rhabdocalyptus","dawsoni",,"",,"native","unlisted","","2007-10-23","Jackson W.F. Chu","iNaturalist","",,"2011-11-03","Jackson W.F. Chu","iNaturalist","",,32,"confirmed","observed","",459736,"VAS"
"Semisuberites cribrosa","(Miklucho-Maclay, 1870)","","funnel sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Poecilosclerida","","","Esperiopsidae","",,"Semisuberites","cribrosa",,"",,"native","unlisted","","1985-08-02","Andy Lamb","PMLS","",,"2013-10-20","Andy Lamb","PMLS","",,58,"confirmed","unobserved","",194571,"VAS"
"Suberites concinnus","Lambe, 1895","","peach ball sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Suberitidae","",,"Suberites","concinnus",,"",,"native","unlisted","","1985-08-02","Andy Lamb","PMLS","",,"2012-08-09","Andy Lamb","PMLS","",,9,"confirmed","unobserved","",873889,"VAS"
"Suberites latus","Lambe, 1893","","hermit crab sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Suberitida","","","Suberitidae","",,"Suberites","latus",,"",,"native","unlisted","","2007-12-29","Andy Lamb","PMLS","",,"2008-09-19","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",473057,"VAS"
"Sycon spp.","","","tiny vase sponge","Animalia","Porifera","","","Calcarea","Calcaronea","","Leucosolenida","","","Sycettidae","",,"Sycon","",,"",,"","","","1994-10-07","Andy Lamb","PMLS","",,"2016-02-07","Andy Lamb","PMLS","",,20,"confirmed","unobserved","",347738,"VAS"
"Tethya californiana","Laubenfels, 1932","","orange rough ball sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Tethyida","","","Tethyidae","",,"Tethya","californiana",,"",,"native","unlisted","","1981-05-31","Andy Lamb","PMLS","",,"1981-05-31","Andy Lamb","PMLS","",,1,"reported","unobserved","",127233,"VAS"
"Tetilla sp.","","","","Animalia","Porifera","","","Demospongiae","Tetractinomorpha","","Spirophorida","","","Tetillidae","",,"Tetilla","",,"",,"","","","2008-05-21","Jackson W.F. Chu","Chu & Leys (2010)","",,"2009-10-03","Jackson W.F. Chu","Chu & Leys (2010)","",,10,"confirmed","unobserved","",247194,"VAS"
"Weberella perlucida","Austin, Ott, Reiswig, Romagosa & McDaniel, 2014","","retractable nipple sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Polymastiida","","","Polymastiidae","",,"Weberella","perlucida",,"",,"native","unlisted","","2007-10-21","Andy Lamb","PMLS","",,"2008-08-23","Andy Lamb","PMLS","",,2,"confirmed","unobserved","",424640,"VAS"
"Xestospongia hispida","(Ridley & Dendy, 1886)","","hard gnarled clump sponge","Animalia","Porifera","","","Demospongiae","Heteroscleromorpha","","Haplosclerida","","","Petrosiidae","",,"Xestospongia","hispida",,"",,"native","unlisted","","2005-12-10","Andy Lamb","PMLS","",,"2016-03-27","Andy Lamb","PMLS","",,17,"confirmed","unobserved","",873856,"VAS"
