"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","subphylum","class","order","suborder","infraorder","superfamily","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","cell_id"
"Beringraja binoculata","(Girard, 1855)",607477,"Animalia","Chordata","Vertebrata","Elasmobranchii","Rajiformes","",NA,"","Rajidae","Beringraja",NA,"binoculata","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:1352","Charlie Gibbs",NA,"","1995-02-23",1995,2,23,"HumanObservation","Cliff House",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,56,NA,"present","","",NA,"","native","SNR","",NA,"","","Beringraja binoculata","","",302
"Beringraja rhina","Jordan & Gilbert, 1880",883875,"Animalia","Chordata","Vertebrata","Elasmobranchii","Rajiformes","",NA,"","Rajidae","Beringraja",NA,"rhina","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:13939","Andy Lamb",NA,"","2010-11-12",2010,11,12,"HumanObservation","Spanish Hills Store",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,100,NA,"present","","",1,"","native","SNR","",NA,"","","Beringraja rhina","","",347
"Brosmophycis marginata","(Ayres, 1854)",215459,"Animalia","Chordata","Vertebrata","Actinopterygii","Ophidiiformes","",NA,"","Bythitidae","Brosmophycis",NA,"marginata","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:13020","Andy Lamb",NA,"","2010-05-30",2010,5,30,"HumanObservation","Spanish Hills wall",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,81,NA,"present","","",1,"","native","SNR","",NA,"","","Brosmophycis marginata","","",370
"Icelinus tenuis","Gilbert, 1890",222146,"Animalia","Chordata","Vertebrata","Actinopterygii","Scorpaeniformes","",NA,"","Cottidae","Icelinus",NA,"tenuis","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:133","Andy Lamb",NA,"","1971-08-21",1971,8,21,"HumanObservation","Lion Islet",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,90,NA,"present","","",NA,"","native","SNR","",NA,"","","Icelinus tenuis","","",135
"Liparis dennyi","Jordan & Starks, 1895",180028,"Animalia","Chordata","Vertebrata","Actinopterygii","Scorpaeniformes","",NA,"","Liparidae","Liparis",NA,"dennyi","","species","PMLS","","","Pacific Marine Life Survey Dive Records","imerss.org:PMLS:1363","Charlie Gibbs",NA,"","1995-02-23",1995,2,23,"HumanObservation","Cliff House",NA,"Galiano Island","British Columbia","Canada","CA",500,"","","","",NA,56,NA,"present","","",NA,"","native","SNR","",NA,"","","Liparis dennyi","","",302
"Oncorhynchus clarkii","(Richardson, 1836)",68075,"Animalia","Chordata","Vertebrata","Actinopterygii","Salmoniformes","",NA,"","Salmonidae","Oncorhynchus",NA,"clarkii","","species","","","","Erickson (2000)","imerss.org:Gal-Salm:1","Keith Erickson",NA,"MuCR3","2000-01-01",2000,1,1,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",3,"","","","",NA,NA,NA,"present","Systematic Survey","",3,"","native","SNR","",NA,"","","Oncorhynchus clarkii","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.",88
"Oncorhynchus clarkii","(Richardson, 1836)",68075,"Animalia","Chordata","Vertebrata","Actinopterygii","Salmoniformes","",NA,"","Salmonidae","Oncorhynchus",NA,"clarkii","","species","","","","Erickson (2000)","imerss.org:Gal-Salm:2","Keith Erickson",NA,"MuCR3","2000-01-01",2000,1,1,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",3,"","","","",NA,NA,NA,"present","Systematic Survey","",3,"","native","SNR","",NA,"","","Oncorhynchus clarkii","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.",88
"Oncorhynchus clarkii","(Richardson, 1836)",68075,"Animalia","Chordata","Vertebrata","Actinopterygii","Salmoniformes","",NA,"","Salmonidae","Oncorhynchus",NA,"clarkii","","species","","","","Erickson (2000)","imerss.org:Gal-Salm:3","Keith Erickson",NA,"MuCR3","2000-01-01",2000,1,1,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",3,"","","","",NA,NA,NA,"present","Systematic Survey","",1,"","native","SNR","",NA,"","","Oncorhynchus clarkii","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.",88
"Oncorhynchus clarkii","(Richardson, 1836)",68075,"Animalia","Chordata","Vertebrata","Actinopterygii","Salmoniformes","",NA,"","Salmonidae","Oncorhynchus",NA,"clarkii","","species","","","","Erickson (2000)","imerss.org:Gal-Salm:4","Keith Erickson",NA,"MuCR4","2000-01-01",2000,1,1,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",3,"","","","",NA,NA,NA,"present","Systematic Survey","",2,"","native","SNR","",NA,"","","Oncorhynchus clarkii","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.",87
"Oncorhynchus clarkii","(Richardson, 1836)",68075,"Animalia","Chordata","Vertebrata","Actinopterygii","Salmoniformes","",NA,"","Salmonidae","Oncorhynchus",NA,"clarkii","","species","","","","Erickson (2000)","imerss.org:Gal-Salm:5","Keith Erickson",NA,"MuCR4","2000-01-01",2000,1,1,"HumanObservation","",NA,"Galiano Island","British Columbia","Canada","CA",3,"","","","",NA,NA,NA,"present","Systematic Survey","",1,"","native","SNR","",NA,"","","Oncorhynchus clarkii","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.","Erickson K (2000) 1999 / 2000 urban salmon habitat program final report. Galiano Conservancy Association, Galiano Island, BC. Unpublished report.",87
